Campaign type,Campaign,Status,Country,Profile,Portfolio,Target type,Daily Budget,Current Budget,Bidding Strategy,SP Off-site Ads Strategy,Labels,Budget group,Impressions(Current period),Impressions(Comparison period),Impressions(Sequential growth rate),Clicks(Current period),Clicks(Comparison period),Clicks(Sequential growth rate),CTR(Current period),CTR(Comparison period),CTR(Sequential growth rate),Spend(Current period),Spend(Comparison period),Spend(Sequential growth rate),CPC(Current period),CPC(Comparison period),CPC(Sequential growth rate),Orders(Current period),Orders(Comparison period),Orders(Sequential growth rate),Sales(Current period),Sales(Comparison period),Sales(Sequential growth rate),Units(Current period),Units(Comparison period),Units(Sequential growth rate),CVR(Current period),CVR(Comparison period),CVR(Sequential growth rate),ACOS(Current period),ACOS(Comparison period),ACOS(Sequential growth rate),ROAS(Current period),ROAS(Comparison period),ROAS(Sequential growth rate),CPA(Current period),CPA(Comparison period),CPA(Sequential growth rate),Sales Same SKU(Current period),Sales Same SKU(Comparison period),Sales Same SKU(Sequential growth rate),Sales Other SKU(Current period),Sales Other SKU(Comparison period),Sales Other SKU(Sequential growth rate),Orders Same SKU(Current period),Orders Same SKU(Comparison period),Orders Same SKU(Sequential growth rate),Orders Other SKU(Current period),Orders Other SKU(Comparison period),Orders Other SKU(Sequential growth rate),Units Same SKU(Current period),Units Same SKU(Comparison period),Units Same SKU(Sequential growth rate),Units Other SKU(Current period),Units Other SKU(Comparison period),Units Other SKU(Sequential growth rate)
sponsoredProducts,"B0978WGWY4_Awesome 20oz black_coworker b,p",Paused,US,NewEleven,B0978WGWY4_TUMBLER 20_YOU ARE AWESOME BLACK_THILE,manual,$20.00,$0.00,Dynamic bids and down,NOT_SET,--,,2498,4654,-0.4633,13,13,0,0.0052,0.0028,0.8571,18.14,18.83,-0.0366,1.4,1.45,-0.0345,2,1,1,79.92,19.98,3,4,1,3,0.1538,0.0769,1,0.227,0.9424,-0.7591,4.41,1.06,3.1604,9.07,18.83,-0.5183,0,19.98,-1,79.92,0,79.92,0,1,-1,2,--,--,0,1,-1,4,--,--
sponsoredProducts,"B0978WGWY4_Awesome 20oz black_teacher b,p",Paused,US,NewEleven,B0978WGWY4_TUMBLER 20_YOU ARE AWESOME BLACK_THILE,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,1827,622,1.9373,3,7,-0.5714,0.0016,0.0113,-0.8584,4.5,10.69,-0.579,1.5,1.53,-0.0196,0,2,-1,0,39.96,-1,0,2,-1,0,0.2857,-1,--,0.2675,--,0,3.74,-1,0,5.35,-1,0,39.96,-1,0,0,0,0,2,-1,--,--,--,0,2,-1,--,--,--
sponsoredProducts,"B0DLV9V243_Orna_You are awesome glass_thank you b,p",Paused,US,NewEleven,x B0DLV9V243_ORNAMENT_YOU ARE AWESOME GLASS_Linh,manual,$3.00,$0.00,Dynamic bids and down,NOT_SET,--,,258,2202,-0.8828,2,2,0,0.0078,0.0009,7.6667,2.7,2.7,0,1.35,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,--,--,--
sponsoredProducts,"B0DLV9V243_Orna_You are awesome glass_coworker b,p",Paused,US,NewEleven,x B0DLV9V243_ORNAMENT_YOU ARE AWESOME GLASS_Linh,manual,$3.00,$0.00,Dynamic bids and down,NOT_SET,--,,3013,999,2.016,3,3,0,0.001,0.003,-0.6667,3.32,3.6,-0.0778,1.11,1.2,-0.075,0,1,-1,0,7.99,-1,0,1,-1,0,0.3333,-1,--,0.4506,--,0,2.22,-1,0,3.6,-1,0,7.99,-1,0,0,0,0,1,-1,--,--,--,0,1,-1,--,--,--
sponsoredProducts,"B0DLV9V243_Orna_You are awesome glass_men, man b,p",Paused,US,NewEleven,x B0DLV9V243_ORNAMENT_YOU ARE AWESOME GLASS_Linh,manual,$1.00,$0.00,Dynamic bids and down,NOT_SET,--,,1817,1743,0.0425,1,0,1,0.0006,0,0.06,0.68,0,0.68,0.68,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,--,--,--
sponsoredProducts,"B0DLV9V243_Orna_You are awesome glass_teacher b,p",Paused,US,NewEleven,x B0DLV9V243_ORNAMENT_YOU ARE AWESOME GLASS_Linh,manual,$1.00,$0.00,Dynamic bids and down,NOT_SET,--,,175,780,-0.7756,1,1,0,0.0057,0.0013,3.3846,1.5,1.5,0,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,--,--,--
sponsoredProducts,"B0DLVS7R7V_Orna_1st christmas retired 2024 glass_retirement gift b,p",Paused,US,NewEleven,x B0DLVS7R7V_ORNAMENT_1ST CHRISTMAS RETIRED 2024 GLASS,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,241,632,-0.6187,14,18,-0.2222,0.0581,0.0285,1.0386,27,33,-0.1818,1.93,1.83,0.0546,5,7,-0.2857,84.95,118.93,-0.2857,5,7,-0.2857,0.3571,0.3889,-0.0818,0.3178,0.2775,0.1452,3.15,3.6,-0.125,5.4,4.71,0.1465,84.95,118.93,-0.2857,0,0,0,5,7,-0.2857,--,--,--,5,7,-0.2857,--,--,--
sponsoredProducts,"B0DLVS7R7V_Orna_1st christmas retired 2024 glass_retirement ornament b,p",Paused,US,NewEleven,x B0DLVS7R7V_ORNAMENT_1ST CHRISTMAS RETIRED 2024 GLASS,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,235,240,-0.0208,5,4,0.25,0.0213,0.0167,0.2754,7.6,6,0.2667,1.52,1.5,0.0133,3,2,0.5,50.97,33.98,0.5,3,2,0.5,0.6,0.5,0.2,0.1491,0.1766,-0.1557,6.71,5.66,0.1855,2.53,3,-0.1567,50.97,33.98,0.5,0,0,0,3,2,0.5,--,--,--,3,2,0.5,--,--,--
sponsoredProducts,"B0DLVS7R7V_Orna_1st christmas retired 2024 glass_retirement gifts b,p",Paused,US,NewEleven,x B0DLVS7R7V_ORNAMENT_1ST CHRISTMAS RETIRED 2024 GLASS,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,410,533,-0.2308,13,12,0.0833,0.0317,0.0225,0.4089,19.6,19.05,0.0289,1.51,1.59,-0.0503,7,3,1.3333,118.93,50.97,1.3333,7,3,1.3333,0.5385,0.25,1.154,0.1648,0.3737,-0.559,6.07,2.68,1.2649,2.8,6.35,-0.5591,101.94,50.97,1,16.99,0,16.99,6,3,1,1,--,--,6,3,1,1,--,--
sponsoredProducts,"B0DLVS7R7V_Orna_1st christmas retired 2024 glass_retirement party decorations b,p",Paused,US,NewEleven,x B0DLVS7R7V_ORNAMENT_1ST CHRISTMAS RETIRED 2024 GLASS,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,90,322,-0.7205,4,10,-0.6,0.0444,0.0311,0.4277,6.8,12.8,-0.4688,1.7,1.28,0.3281,2,5,-0.6,33.98,84.95,-0.6,2,5,-0.6,0.5,0.5,0,0.2001,0.1507,0.3278,5,6.64,-0.247,3.4,2.56,0.3281,33.98,84.95,-0.6,0,0,0,2,5,-0.6,--,--,--,2,5,-0.6,--,--,--
