(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FD9QBGZH,B0DH7YGD9Q,"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler",EC-NYJH-0YZA,171,1,2.93%,1.11%,251,1,3.33%,0.90%,100.00%,100.00%,40,0,23.39%,0.00%,$799.20,$0.00,39,0
B0DKDWHJ2P,B0CRVTN11L,"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass",Y1-7KOS-V5KR,159,3,2.72%,3.33%,205,3,2.72%,2.70%,98.91%,0.00%,33,0,20.75%,0.00%,$527.34,$0.00,33,0
B0F18CMJ3L,B0F18CMJ3L,"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass",CU-4EWE-9UH1,124,5,2.12%,5.56%,176,6,2.34%,5.41%,99.35%,100.00%,34,0,27.42%,0.00%,$781.32,$0.00,31,0
B0F8QTMBRV,B0DGGDX9P5,"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass",EI-6RN9-0Z0A,128,5,2.19%,5.56%,169,7,2.24%,6.31%,100.00%,100.00%,26,0,20.31%,0.00%,$441.48,$0.00,26,0
B0F9W75LLW,B0CG8N67SJ,"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler",FQ-Q5JW-E8TK,159,1,2.72%,1.11%,195,1,2.59%,0.90%,99.46%,0.00%,21,0,13.21%,0.00%,$419.58,$0.00,21,0
B0F7H2RCV2,B0DH88L44J,"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass",3E-J0TV-6W9S,155,7,2.65%,7.78%,245,8,3.25%,7.21%,100.00%,100.00%,22,1,14.19%,14.29%,$505.56,$22.98,21,1
B0DKP1FXBW,B08ZRWW1W4,"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler",A6-H1II-ZKFG,101,2,1.73%,2.22%,141,2,1.87%,1.80%,99.22%,100.00%,21,1,20.79%,50.00%,$482.58,$22.98,20,1
B0FD9QBGZH,B0DH86X93V,"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Him, Her - Turning 40-40 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler",Z0-L1YB-49DF,57,1,0.98%,1.11%,70,2,0.93%,1.80%,100.00%,100.00%,20,0,35.09%,0.00%,$399.60,$0.00,20,0
B0FG7QMV1Y,B0D7HMXCSP,"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle",UB-TA3P-4YBQ,103,1,1.76%,1.11%,160,2,2.12%,1.80%,100.00%,100.00%,19,0,18.45%,0.00%,$303.62,$0.00,18,0
B0FD9QBGZH,B0DM63J16N,"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler",CB-D2S7-7LAE,118,0,2.02%,0.00%,156,0,2.07%,0.00%,100.00%,0.00%,16,0,13.56%,0.00%,$351.68,$0.00,16,0
B0FFGT9TWF,B0F13S4HSG,"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse",M7-LMCU-PTYK,118,2,2.02%,2.22%,144,2,1.91%,1.80%,100.00%,100.00%,16,0,13.56%,0.00%,$284.70,$0.00,16,0
B0F18PVLJ1,B0F18PVLJ1,"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler",WD-3UXP-TSPV,99,2,1.70%,2.22%,160,3,2.12%,2.70%,100.00%,100.00%,16,0,16.16%,0.00%,$367.68,$0.00,16,0
B0FFH2DPYK,B08R8PXYL6,"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler",ZG-6MPB-F5JV,62,1,1.06%,1.11%,82,1,1.09%,0.90%,100.00%,0.00%,13,0,20.97%,0.00%,$259.74,$0.00,13,0
B0FHBBJ3JH,B0FC6FNMMD,"NewEleven Engagement Gifts For Couples - Happy Wedding Cards For Bride And Groom - Romantic Present, Congratulation Wedding Gifts From Friend, Family - Greeting Card",TU-XEZX-HS89,99,2,1.70%,2.22%,129,2,1.71%,1.80%,100.00%,100.00%,13,0,13.13%,0.00%,$64.87,$0.00,13,0
B0D83GTKZK,B08R8R2LQF,"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler",JC-JMFX-W7IY,41,0,0.70%,0.00%,58,0,0.77%,0.00%,100.00%,0.00%,12,0,29.27%,0.00%,$275.76,$0.00,12,0
B0FG7PKPXP,B0CBJR253J,"NewEleven Gifts For Nurse - Nurse Gift For Women - Caregiver Appreciation Gifts, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass",DM-ZO4D-MA58,37,1,0.63%,1.11%,47,1,0.62%,0.90%,100.00%,100.00%,16,5,43.24%,500.00%,$159.84,$49.95,12,1
