(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0F8QTMBRV,B0CYPT8HM7,"NewEleven 30th Birthday Gifts For Women - 30s Birthday Decorations - 30 Year Old Gifts For Her, Woman, Sister, Mom, Daughter, Best Friend - In My Thirties Era Glass - 16 Oz Coffee Glass",C9-FSMU-8JV2,14,0,0.29%,0.00%,18,0,0.29%,0.00%,100.00%,0.00%,3,0,21.43%,0.00%,$50.94,$0.00,3,0
B0DKDWHJ2P,B0DCJM56W3,"NewEleven Gifts For New Mom 2025 – Pregnancy Gifts For First Time Mom, Pregnant Mommy, Expecting Mother, Moms To Be, Mommy To Be, New Moms - 16 Oz Coffee Glass",SG-SV6L-3ILW,44,1,0.90%,1.45%,52,1,0.83%,1.20%,100.00%,0.00%,3,0,6.82%,0.00%,$38.97,$0.00,3,0
B0FFH2DPYK,B0DH83T7MF,"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler",RP-GISO-TOFC,22,0,0.45%,0.00%,24,0,0.38%,0.00%,100.00%,0.00%,3,0,13.64%,0.00%,$59.94,$0.00,3,0
B0FFH2DPYK,B0DHCFTYVW,"NewEleven 60th Birthday Gifts For Men Women - 1965 60th Birthday Decorations For Him Her - Turning 60 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler",06-AGXV-L5EK,14,0,0.29%,0.00%,16,0,0.25%,0.00%,100.00%,0.00%,3,0,21.43%,0.00%,$59.94,$0.00,3,0
B0F4CLW9JM,B0DPM5JXP7,"NewEleven House Warming Gifts, New Home Ornament 2025, Dream Home Gift Ideas Decor - Welcome Home Gifts, Housewarming Gift New Home, Best Housewarming Presents 2025 - Glass Ornament",BK-7AQP-YXO7,11,0,0.22%,0.00%,16,0,0.25%,0.00%,100.00%,0.00%,3,0,27.27%,0.00%,$35.97,$0.00,3,0
B0F9WD297S,B0F2T4JDF7,"NewEleven Birthday Gifts For Mom, Funny Card Gifts For Mom, Awesome Mommy Present From Daughter, Best Mother's Day Gift Idea For Wife, Sister - Humorous Greeting Card",AU-GMLU-KG6Z,49,0,1.00%,0.00%,56,0,0.89%,0.00%,55.36%,0.00%,3,0,6.12%,0.00%,$29.97,$0.00,3,0
B0FFGT9TWF,B0F7WVKZ6F,"NewEleven Gift For Grandpa - Meaningful Grandpa Gifts From Granddaughter, Grandson - Grandpa Birthday Gifts For Grandfather, New Granddad, PaPa - Bible Jar",8O-S5PG-85KF,10,0,0.20%,0.00%,16,0,0.25%,0.00%,100.00%,0.00%,3,0,30.00%,0.00%,$50.94,$0.00,3,0
B0FFH2DPYK,B089QFK8NV,"NewEleven 40th Birthday Gifts For Women - 40th Birthday Decorations For Women, Her - Best 40 Year Old Gifts Ideas For Wife, Mom, Friends, Sister - Turning 40 Presents For Female - 12 Oz Tumbler",6O-P3K0-CFHN,20,0,0.41%,0.00%,21,0,0.33%,0.00%,100.00%,0.00%,2,0,10.00%,0.00%,$29.98,$0.00,2,0
B0D83GTKZK,B08R8SW1NM,"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Men Women - Gifts For Women Turning 50-50 Year Old Gift For Men, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler",IW-9AEL-FYY3,4,0,0.08%,0.00%,4,0,0.06%,0.00%,100.00%,0.00%,2,0,50.00%,0.00%,$29.98,$0.00,2,0
B0F9W75LLW,B097B9H21P,"NewEleven Gifts For Mom From Daughter, Son, Kids - Unique Birthday Gift For Mom Wife, New Mother, Bonus Mama, Pregnant Mama - Funny Gifts Ideas For Mum - 20 Oz Tumbler",YP-SEHP-8NOP,43,1,0.88%,1.45%,53,1,0.84%,1.20%,39.58%,0.00%,2,0,4.65%,0.00%,$33.96,$0.00,2,0
