(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FD9QBGZH,B0DH7YGD9Q,"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler",EC-NYJH-0YZA,188,2,3.31%,1.82%,239,2,3.28%,1.38%,99.56%,100.00%,45,1,23.94%,50.00%,$899.10,$19.98,45,1
B0F8QTMBRV,B0DGGDX9P5,"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass",EI-6RN9-0Z0A,146,2,2.57%,1.82%,203,2,2.78%,1.38%,100.00%,100.00%,28,0,19.18%,0.00%,$475.44,$0.00,27,0
B0FD9QBGZH,B0DM63J16N,"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler",CB-D2S7-7LAE,91,1,1.60%,0.91%,103,1,1.41%,0.69%,100.00%,100.00%,26,0,28.57%,0.00%,$571.48,$0.00,25,0
B0DKDWHJ2P,B0CRVTN11L,"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass",Y1-7KOS-V5KR,124,0,2.19%,0.00%,150,0,2.06%,0.00%,100.00%,0.00%,24,1,19.35%,0.00%,$383.52,$15.98,24,1
B0F18CMJ3L,B0F18CMJ3L,"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass",CU-4EWE-9UH1,152,4,2.68%,3.64%,225,6,3.08%,4.14%,99.01%,100.00%,24,1,15.79%,25.00%,$551.52,$22.98,23,1
B0F7H2RCV2,B0DH88L44J,"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass",3E-J0TV-6W9S,133,3,2.34%,2.73%,215,5,2.95%,3.45%,99.47%,100.00%,23,0,17.29%,0.00%,$528.54,$0.00,21,0
B0FG7QMV1Y,B0D7HMXCSP,"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle",UB-TA3P-4YBQ,85,1,1.50%,0.91%,126,1,1.73%,0.69%,100.00%,100.00%,20,0,23.53%,0.00%,$319.60,$0.00,20,0
B0FHBBJ3JH,B0FC5SSDXK,"NewEleven Gifts For Women - Wedding Anniversary Card For Wife, Husband, Couple - Romanic Love Gifts For Boyfriend From Girlfriend, Her - Greeting Card",D0-B6A7-C5GP,106,1,1.87%,0.91%,123,1,1.69%,0.69%,100.00%,0.00%,20,0,18.87%,0.00%,$119.80,$0.00,20,0
B0FHBBJ3JH,B0FC6FNMMD,"NewEleven Engagement Gifts For Couples - Happy Wedding Cards For Bride And Groom - Romantic Present, Congratulation Wedding Gifts From Friend, Family - Greeting Card",TU-XEZX-HS89,120,2,2.12%,1.82%,159,2,2.18%,1.38%,100.00%,100.00%,21,1,17.50%,50.00%,$125.79,$5.99,19,1
B0FFH2DPYK,B08R8PXYL6,"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler",ZG-6MPB-F5JV,50,0,0.88%,0.00%,75,0,1.03%,0.00%,100.00%,0.00%,17,1,34.00%,0.00%,$339.66,$19.98,17,1
