"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"40";"3";"799,2";"-2";"-301,23";"-301,23";"";"";"";"";"";"7,50";"-";"-44,21";"-297,67";"-131,6";"";"22,49";"22,49";"154,09";"";"2,81";"17,09";"2 797";"37,69";"171";"23,39"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"34";"1";"781,32";"-6,43";"-125,07";"-125,07";"";"";"";"";"";"2,94";"-";"-19,24";"-282,82";"-66,64";"";"281,12";"281,12";"347,76";"";"35,98";"421,85";"12 255";"16,01";"124";"27,42"
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"33";"";"527,34";"-0,79";"-173,55";"-173,55";"";"";"";"";"";"";"100";"5,6";"-251,66";"-92,4";"";"14,54";"14,54";"101,34";"";"2,76";"15,74";"6 387";"32,91";"159";"20,75"
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"26";"";"441,48";"";"-77,27";"-77,27";"";"";"";"";"";"";"100";"3,98";"-191,65";"-51,74";"";"124,80";"124,80";"172,56";"";"28,27";"241,21";"9 019";"17,50";"128";"20,31"
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"22";"";"505,56";"-2,3";"-159,51";"-159,51";"";"";"";"";"";"";"50";"4,48";"-228,83";"-98,56";"";"20,84";"20,84";"114,92";"";"4,12";"21,14";"11 254";"31,55";"155";"14,19"
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98";"B08ZRWW1W4";"A6-H1II-ZKFG";"21";"";"482,58";"-2,3";"-118,08";"-118,08";"";"";"";"";"";"";"100";"8,28";"-166,54";"-86,94";"";"117,00";"117,00";"195,66";"";"24,24";"134,58";"15 253";"24,47";"101";"20,79"
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"21";"1";"419,58";"-21";"-141,88";"-141,88";"";"";"";"";"";"4,76";"100";"-18,24";"-161,49";"-74,76";"";"2,21";"2,21";"69,85";"";"0,53";"2,96";"4 573";"33,81";"159";"13,21"
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Him, Her - Turning 40-40 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH86X93V";"Z0-L1YB-49DF";"20";"";"399,6";"";"-74,24";"-74,24";"";"";"";"";"";"";"100";"3,29";"-149";"-65,8";"";"113,85";"113,85";"176,36";"";"28,49";"173,02";"2 797";"18,58";"57";"35,09"
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"19";"1";"303,62";"-3,2";"";"";"";"";"";"";"";"5,26";"66,67";"-3,89";"-144,45";"-94,81";"";"57,27";"57,27";"142,1";"";"18,86";"60,41";"60 199";"";"103";"18,45"
"NewEleven Gifts For Nurse - Nurse Gift For Women - Caregiver Appreciation Gifts, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass COG: 2,33 / Price: 9,99";"B0CBJR253J";"DM-ZO4D-MA58";"16";"";"159,84";"-5";"-41,61";"-41,61";"";"";"";"";"";"";"-";"";"-86,06";"-37,28";"";"-10,11";"-10,11";"27,17";"";"-6,33";"-27,12";"31 235";"26,03";"37";"43,24"
