"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"29";"";"463,42";"-1,6";"-173,18";"-173,18";"";"";"";"";"";"";"-";"";"-221,01";"-81,2";"";"-13,57";"-13,57";"67,63";"";"-2,93";"-16,71";"5 676";"37,37";"275";"10,55"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"28";"2";"559,44";"-1";"-325,63";"-325,63";"";"";"";"";"";"7,14";"100";"-30,66";"-261,01";"-75,67";"";"-134,53";"-134,53";"-62,15";"";"-24,05";"-177,79";"2 384";"58,21";"155";"18,06"
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"21";"";"482,58";"-2,3";"-244,54";"-244,54";"";"";"";"";"";"";"-";"";"-174,94";"-73,5";"";"-12,70";"-12,70";"60,8";"";"-2,63";"-17,28";"9 311";"50,67";"143";"14,69"
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"18";"";"359,64";"-1";"-198,4";"-198,4";"";"";"";"";"";"";"-";"";"-141,14";"-64,08";"";"-44,98";"-44,98";"19,1";"";"-12,51";"-70,19";"2 206";"55,17";"152";"11,84"
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - Turning 60-60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,26 / Price: 21,98";"B0DM63J16N";"CB-D2S7-7LAE";"18";"";"395,64";"-1,1";"-82,1";"-82,1";"";"";"";"";"";"";"-";"";"-139,85";"-58,68";"";"113,91";"113,91";"172,59";"";"28,79";"194,12";"2 381";"20,75";"83";"21,69"
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"13";"";"220,74";"-0,85";"-90,08";"-90,08";"";"";"";"";"";"";"-";"";"-100,08";"-25,87";"";"3,86";"3,86";"29,73";"";"1,75";"14,92";"8 917";"40,81";"75";"17,33"
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"12";"";"275,76";"";"-82,25";"-82,25";"";"";"";"";"";"";"-";"";"-95,4";"-50,52";"";"47,59";"47,59";"98,11";"";"17,26";"94,20";"17 883";"29,83";"38";"31,58"
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98";"B0CQJZP6TK";"FJ-K5JP-AWYT";"12";"";"191,76";"-8,95";"-43,17";"-43,17";"";"";"";"";"";"";"-";"";"-84,78";"-30,96";"";"23,90";"23,90";"54,86";"";"12,46";"77,20";"24 681";"22,51";"210";"5,71"
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"12";"1";"275,76";"";"-146,67";"-146,67";"";"";"";"";"";"8,33";"75";"-6,5";"-125,04";"-53,76";"";"-56,21";"-56,21";"-15,89";"";"-20,38";"-104,56";"8 143";"53,19";"98";"12,24"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"12";"1";"275,76";"";"-134,63";"-134,63";"";"";"";"";"";"8,33";"100";"-17,28";"-100,2";"-23,52";"";"0,13";"0,13";"21,69";"";"0,05";"0,55";"12 985";"48,82";"84";"14,29"
