"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts for Men Women - 1975 Birthday Decorations for Him, Her - Gifts for People Turning 50 Year Old Mom, Dad, Wife, Husband - Retro Trucker Hat COG: 1,99 / Price: 13,57";"B0DHC2C1S4";"S1-6FQM-HSP6";"";"";"";"";"-14,5";"-14,5";"";"";"";"";"";"";"-";"";"";"";"";"-14,50";"-14,50";"-14,5";"";"";"";"";"";"16";""
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Kids - Husband Gift - Birthday Present Ideas For Father, Husband, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,14 / Price: 17,82";"B0CM5RJ8VD";"1J-71GS-RJFC";"";"";"";"";"-5,43";"-5,43";"";"";"";"";"";"";"-";"";"";"";"";"-5,43";"-5,43";"-5,43";"";"";"";"";"";"26";""
"NewEleven Gifts For Mom - Birthday Gifts For Mom From Kids – Unique Birthday Present Ideas For Mother, Wife From Daughter, Son, Husband - 16 Oz Coffee Glass COG: 2,25 / Price: 13,54";"B0C9BZRC4K";"YM-PHWT-7K9Y";"";"";"";"";"-3,86";"-3,86";"";"";"";"";"";"";"-";"";"";"";"";"-3,86";"-3,86";"-3,86";"";"";"";"";"";"9";""
"NewEleven Gifts For Him, Men - Gift For Men, Women, Dad, Husband, Friend - Thank You Gifts, Appreciation Gift, Graduation Presents For Men, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler COG: 4,04 / Price: 19,96";"B0978WGWY4";"BJ-VG4K-QQW3";"1";"";"9,31";"";"";"";"";"";"";"";"";"";"-";"";"-5,79";"-5,65";"";"-2,13";"-2,13";"3,52";"";"-22,88";"-37,70";"";"";"2";"50,00"
"NewEleven Mothers Day Gifts For Mom, Birthday Gifts For Mom From Daughters, Son - New Mom Gift, Mother In Law - Bible Jar For Mom - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 1,3 / Price: 8,59";"B0DVSKXLS5";"UI-VXIT-1YW7";"";"";"";"";"-2,06";"-2,06";"";"";"";"";"";"";"-";"";"";"";"";"-2,06";"-2,06";"-2,06";"";"";"";"";"";"5";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,22 / Price: 18,53";"B0DH83T7MF";"RP-GISO-TOFC";"13";"";"186,32";"-0,72";"-47,45";"-47,45";"";"";"";"";"";"";"-";"";"-94,01";"-45,89";"";"-1,75";"-1,75";"44,14";"";"-0,94";"-3,81";"";"25,47";"46";"28,26"
"NewEleven Pregnancy Announcement Gifts for Husband Wife Family, Gender Reveal Gifts, Pregnancy Gift for Expecting Mom, for New Mom, New Dad, New Parents - Ornament COG: 0,65 / Price: 7,86";"B0D72Z4996";"FB-GMDU-EXTV";"";"";"";"";"-1,03";"-1,03";"";"";"";"";"";"";"-";"";"";"";"";"-1,03";"-1,03";"-1,03";"";"";"";"";"";"2";""
"NewEleven Retirement Ornament, Funny Retired Gift for Woman Men, Retired Gifts for Women Mom Nurses Teacher Coworker Friends, Christmas Tree Decorations, First Retirement Christmas Ornament 2025 COG: 0,64 / Price: 8,56";"B0DK12WRBS";"48-I2ID-D1NR";"";"";"";"";"-1,02";"-1,02";"";"";"";"";"";"";"-";"";"";"";"";"-1,02";"-1,02";"-1,02";"";"";"";"";"";"1";""
"NewEleven Memorial Christmas Ornament - Remembrance Gift, Sympathy Gifts for Loss of Loved One, Mom, Dad - Memorial Gifts from Friend, Family - Christmas Ornaments COG: 0,68 / Price: 7,83";"B0FM3VJSDX";"0L-293E-6O7U";"";"";"";"";"-0,7";"-0,7";"";"";"";"";"";"";"-";"";"";"";"";"-0,70";"-0,70";"-0,7";"";"";"";"";"";"3";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 2,86 / Price: 15";"B08ZRWW1W4";"A6-H1II-ZKFG";"1";"";"16,46";"";"-6,49";"-6,49";"";"";"";"";"";"";"-";"";"-7,27";"-3,32";"";"-0,62";"-0,62";"2,7";"";"-3,77";"-18,67";"";"39,43";"11";"9,09"
"NewEleven 60th Birthday Wine Tumbler - 1965 Birthday Gift For Women | 12 Oz Capacity | Happy 60th Celebration Gift | For Mom, Wife, Aunt COG: 2,93 / Price: 15,68";"B08R8PXYL6";"ZG-6MPB-F5JV";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"5";""
