"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts for Men Women - 1975 Birthday Decorations for Him, Her - Gifts for People Turning 50 Year Old Mom, Dad, Wife, Husband - Retro Trucker Hat COG: 1,99 / Price: 13,57";"B0DHC2C1S4";"S1-6FQM-HSP6";"1";"";"14,98";"";"-19,03";"-19,03";"";"";"";"";"";"";"-";"";"-8,96";"-2,07";"";"-15,08";"-15,08";"-13,01";"";"-100,67";"-728,50";"";"127,04";"24";"4,17"
"NewEleven Mothers Day Gifts For Mom, Birthday Gifts For Mom From Daughters, Son - New Mom Gift, Mother In Law - Bible Jar For Mom - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 1,3 / Price: 8,59";"B0DVSKXLS5";"UI-VXIT-1YW7";"3";"";"23,63";"-1,66";"-8,56";"-8,56";"";"";"";"";"";"";"-";"";"-15,59";"-8,07";"";"-10,25";"-10,25";"-2,18";"";"-43,38";"-127,01";"";"36,23";"28";"10,71"
"NewEleven Fathers Day Gift For Dad, Birthday Gifts For Dad From Daughter, Son - New Dad Gift, Bible Jar For Father - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 2,59 / Price: 9,27";"B0DVSKBSWN";"GE-UCH3-MNIE";"2";"";"16,47";"-0,39";"-8,3";"-8,3";"";"";"";"";"";"";"-";"";"-10,63";"-5,38";"";"-8,23";"-8,23";"-2,85";"";"-49,97";"-152,97";"";"50,39";"19";"10,53"
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,67 / Price: 10,92";"B0CRVTN11L";"Y1-7KOS-V5KR";"4";"";"43,84";"-0,55";"-13,12";"-13,12";"";"";"";"";"";"";"-";"";"-27,88";"-9,56";"";"-7,27";"-7,27";"2,29";"";"-16,58";"-76,05";"";"29,93";"24";"16,67"
"NewEleven 60th Birthday Gifts For Women - 1965 60th Birthday Decorations For Woman - 60 Year Old Gifts For Women, Mom, Wife - 20 Oz Tumbler COG: 3,32 / Price: 14,26";"B0DM63J16N";"CB-D2S7-7LAE";"";"";"";"";"-4,86";"-4,86";"";"";"";"";"";"";"-";"";"";"";"";"-4,86";"-4,86";"-4,86";"";"";"";"";"";"19";""
"NewEleven 40th Birthday Gifts for Men Women – 1985 Retro Trucker Hat, Funny Birthday Gift for Dad, Husband, Mom, Wife – Vintage 40 Year Old Party Hat COG: 1,89 / Price: 17,82";"B0DHC932W2";"HO-F3TN-5J1L";"";"";"";"";"-3,76";"-3,76";"";"";"";"";"";"";"-";"";"";"";"";"-3,76";"-3,76";"-3,76";"";"";"";"";"";"13";""
"NewEleven Gifts For Mom - Birthday Gifts For Mom From Daughter, Son, Kids, Husband - Wife Gift - Unique Present Ideas For Mother, Mother In Law, New Mama, Wife - 20 Oz Tumbler COG: 3,05 / Price: 16,4";"B0CJX4XSXB";"S8-FINW-47HP";"1";"";"17,92";"";"-8,07";"-8,07";"";"";"";"";"";"";"-";"";"-7,79";"-3,92";"";"-1,86";"-1,86";"2,06";"";"-10,38";"-47,45";"";"45,03";"17";"5,88"
"NewEleven Fathers Day Gift For Grandpa - Meaningful Grandpa Gifts From Granddaughter, Grandson - Grandpa Birthday Gifts For Grandfather, New Granddad, PaPa - Bible Jar COG: 1,42 / Price: 16,98";"B0F7WVKZ6F";"8O-S5PG-85KF";"";"";"";"";"-1,19";"-1,19";"";"";"";"";"";"";"-";"";"";"";"";"-1,19";"-1,19";"-1,19";"";"";"";"";"";"3";""
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,22 / Price: 18,53";"B0DH83T7MF";"RP-GISO-TOFC";"14";"";"189,56";"";"-40,05";"-40,05";"";"";"";"";"";"";"-";"";"-100,38";"-49,42";"";"-0,29";"-0,29";"49,13";"";"-0,15";"-0,59";"";"21,13";"48";"29,17"
"NewEleven Gifts For Mom From Daughter, Son, Kids - Unique Birthday Gift For Mom Wife, New Mother, Bonus Mama, Pregnant Mama - Funny Gifts Ideas For Mum - 20 Oz Tumbler COG: 3,12 / Price: 17,94";"B097B9H21P";"YP-SEHP-8NOP";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"4";""
"NewEleven Gifts For Mom - Present For Mom From Daughter, Son, Kids - Unique Birthday Gifts For Mother, Mommy, Pregnancy - 16 Oz Coffee Glass COG: 2,82 / Price: 9,99";"B0BHWDNYVL";"CW-5CAB-L7CZ";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"2";""
"NewEleven Gifts For Mom, Wife - Gifts For Mom From Daughter, Son, Kids - Unique Birthday Present Ideas For Mother, Wife, New Mama From Daughter, Son, Husband - 20 Oz Tumbler COG: 3,71 / Price: 14,76";"B0CG8NHNWF";"2F-5232-03M8";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"7";""
"NewEleven 50th Birthday Gifts for Men Women - 1974 Birthday Decorations for Men Women - Gifts for Turning 50-50 Year Old Gifts for Man, Woman, Mom, Dad, Wife, Husband - Retro Trucker Hat COG: 2,52 / Price: 7,23";"B0CM5T2F1V";"4Q-CVN5-SRBD";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"1";""
