"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 20 Oz Tumbler - Farewell Gift for Coworker, BPA-Free Stainless Steel Drinking Cup, Double Wall Vacuum Insulation, Going Away Gift for Men Women, Good Luck Gifts COG: 3,31 / Price: 14,78";"B09XDFF8FF";"HR-LSGT-JYQH";"3";"";"44,49";"";"-26,72";"-26,72";"";"";"";"";"";"";"100";"3,66";"-22,41";"-10,98";"";"-11,96";"-11,96";"-4,64";"";"-26,88";"-108,93";"";"60,06";"60";"5,00"
"NewEleven Mothers Day Gifts For Mom, Birthday Gifts For Mom From Daughters, Son - New Mom Gift, Mother In Law - Bible Jar For Mom - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 1,3 / Price: 8,59";"B0DVSKXLS5";"UI-VXIT-1YW7";"1";"";"8,55";"";"-10,05";"-10,05";"";"";"";"";"";"";"-";"";"-5,38";"-2,69";"";"-9,57";"-9,57";"-6,88";"";"-111,93";"-355,76";"";"117,54";"17";"5,88"
"NewEleven Gifts For Him, Men - Gift For Men, Women, Dad, Husband, Friend - Thank You Gifts, Appreciation Gift, Graduation Presents For Men, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler COG: 4,04 / Price: 19,96";"B0978WGWY4";"BJ-VG4K-QQW3";"";"1";"";"";"";"";"";"";"";"";"";"∞";"-";"-8,08";"";"";"";"-8,08";"-8,08";"-8,08";"";"";"";"";"";"";""
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 2,86 / Price: 15";"B08ZRWW1W4";"A6-H1II-ZKFG";"";"";"";"";"-7,59";"-7,59";"";"";"";"";"";"";"-";"";"";"";"";"-7,59";"-7,59";"-7,59";"";"";"";"";"";"6";""
"NewEleven 40th Birthday Gifts for Men Women – 1985 Retro Trucker Hat, Funny Birthday Gift for Dad, Husband, Mom, Wife – Vintage 40 Year Old Party Hat COG: 1,89 / Price: 17,82";"B0DHC932W2";"HO-F3TN-5J1L";"";"";"";"";"-6,97";"-6,97";"";"";"";"";"";"";"-";"";"";"";"";"-6,97";"-6,97";"-6,97";"";"";"";"";"";"10";""
"NewEleven Fathers Day Gift For Dad, Birthday Gifts For Dad From Daughter, Son - New Dad Gift, Bible Jar For Father - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 2,59 / Price: 9,27";"B0DVSKBSWN";"GE-UCH3-MNIE";"1";"";"8,59";"";"-3,71";"-3,71";"";"";"";"";"";"";"-";"";"-5,41";"-2,69";"";"-3,22";"-3,22";"-0,53";"";"-37,49";"-119,70";"";"43,19";"14";"7,14"
"NewEleven 60th Birthday Gifts For Men Women - 1965 60th Birthday Decorations For Him Her - Turning 60 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,32 / Price: 18,53";"B0DHCFTYVW";"06-AGXV-L5EK";"2";"";"32,24";"";"-9,88";"-9,88";"";"";"";"";"";"";"-";"";"-14,98";"-10,32";"";"-2,94";"-2,94";"7,38";"";"-9,12";"-28,49";"";"30,65";"21";"9,52"
"NewEleven Gifts For Mom, Wife - Gifts For Mom From Daughter, Son, Kids - Unique Birthday Present Ideas For Mother, Wife, New Mama From Daughter, Son, Husband - 20 Oz Tumbler COG: 3,71 / Price: 14,76";"B0CG8NHNWF";"2F-5232-03M8";"";"";"";"";"-1,28";"-1,28";"";"";"";"";"";"";"-";"";"";"";"";"-1,28";"-1,28";"-1,28";"";"";"";"";"";"5";""
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - Turning 40-40 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,32 / Price: 18,57";"B0DH7PQ1RX";"7N-6OBC-K7DN";"4";"";"61,82";"";"-16,75";"-16,75";"";"";"";"";"";"";"-";"";"-29,82";"-15,32";"";"-0,07";"-0,07";"15,25";"";"-0,11";"-0,46";"";"27,09";"30";"13,33"
"NewEleven Brother Gifts - Best Birthday Gift For Big, Little Brother, Siblings, Brothers In Law - Funny Gag Gifts For Men - 20 Oz Tumbler COG: 3,09 / Price: 14,26";"B09792XF8F";"CC-VIYV-1LFP";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"3";""
