Product,ASIN,Date,SKU,Units,Refunds,Sales,Promo,Ads,Sponsored products (PPC),% Refunds,Sellable Quota,Refund сost,Amazon fees,Cost of Goods,Gross profit,Net profit,Estimated payout,Margin,ROI,BSR,Real ACOS,Sessions,Unit Session Percentage,Sponsored Display
"NewEleven Gifts For Him - Fishing Gifts For Men, Dad, Fisherman, Father - Practical Gift, Dad Birthday Present, Men, Husband - 20 Oz Tumbler
COG: 3,66 / Price: 17,98",B0CY4MC1GJ,2025-08-02,YJ-23CQ-KDB5,10.0,,179.8,,-41.91,-41.91,,-,,-75.2,-36.6,26.09,26.09,62.69,14.51,71.28,16780.0,23.31,63.0,15.87,
"NewEleven 50th Birthday Gifts For Women - 1975 50th Birthday Decorations For Women - Gifts For Her Turning 50 Year Old - 20 Oz Tumbler
COG: 3,31 / Price: 21,98",B0DH7X6R1J,2025-08-02,YJ-F5N3-DGJ5,10.0,,219.8,-2.2,-42.16,-42.16,,-,,-77.43,-33.1,64.91,64.91,98.01,29.53,196.1,2487.0,19.18,51.0,19.61,
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler
COG: 4,63 / Price: 19,98",B092HNBJT6,2025-08-02,W7-BHYY-1NZC,9.0,2.0,179.82,,-33.38,-33.38,22.22,-,-31.21,-67.05,-41.67,6.51,6.51,48.18,3.62,15.62,17796.0,18.56,40.0,22.5,
"NewEleven Nurse Gifts For Women, Nursing Student, Nurses Practitioner, Registered Nurses - Nurse Appreciation Gifts For Women From Friends, Family And Coworker - 20 Oz Tumbler
COG: 3,5 / Price: 12,98",B0DWN2GX75,2025-08-02,P3-U5Q5-Y2JP,9.0,,116.82,-10.12,,,,-,,-54.94,-31.5,20.26,20.26,51.76,17.34,64.32,54276.0,,3.0,300.0,
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler
COG: 3,5 / Price: 22,98",B0F18PVLJ1,2025-08-02,WD-3UXP-TSPV,9.0,,206.82,-1.15,-73.57,-73.57,,-,,-74.95,-31.5,25.65,25.65,57.15,12.4,81.43,10613.0,35.57,64.0,14.06,
"NewEleven Funny Retirement Gifts For Men, Women - Going Away Gift, Coworker Leaving Gifts For Women, Farewell Gift For Coworkers, Boss, Colleague - Greeting Card
COG: 0,39 / Price: 7,99",B0FC69XTZ9,2025-08-02,B4-IRKZ-AKKE,9.0,,71.91,,-40.25,-40.25,,-,,-27.91,-3.51,0.24,0.24,3.75,0.33,6.84,5620.0,55.97,58.0,15.52,
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle
COG: 4,99 / Price: 15,98",B0D7HMXCSP,2025-08-02,UB-TA3P-4YBQ,8.0,2.0,127.84,,,,25,-,-35.04,-61.04,-39.92,-8.16,-8.16,31.76,-6.38,-20.44,56841.0,,45.0,17.78,
"NewEleven Gifts For Mom - Heartfelt Message, Birthday Card For Mom From Daughter, Son, Kids - Meaningful Gift, Unique Present For Mother - Greeting Card
COG: 0,39 / Price: 5,99",B0FC6DJMD9,2025-08-02,1E-URHL-R626,8.0,,47.92,,-29.6,-29.6,,-,,-26.24,-3.12,-11.04,-11.04,-7.92,-23.04,-353.85,9160.0,61.77,46.0,17.39,
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler
COG: 3,39 / Price: 16,98",B089QFYLFB,2025-08-02,XH-ELQT-PEJ2,7.0,,139.86,,-47.68,-47.68,,-,,-52.15,-23.73,16.3,16.3,40.03,11.65,68.69,7833.0,34.09,30.0,23.33,
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass
COG: 2,23 / Price: 15,98",B0BYCT1SRJ,2025-08-02,LH-BSSY-KKX9,7.0,1.0,111.86,,-13.92,-13.92,14.29,-,-13.87,-48.78,-17.84,17.45,17.45,35.29,15.6,97.81,28756.0,12.44,26.0,26.92,
