Product,ASIN,Date,SKU,Units,Refunds,Sales,Promo,Ads,Sponsored products (PPC),Sponsored Display,% Refunds,Sellable Quota,Refund сost,Amazon fees,Cost of Goods,Gross profit,Net profit,Estimated payout,Margin,ROI,BSR,Real ACOS,Sessions,Unit Session Percentage
"NewEleven Gifts For Mom - Gifts For Mother, Women, Wife - Funny Best Birthday Gift Ideas For Wife, New Mama, Bonus Mama, Mom To Be, Mother In Law - 12 Oz Tumbler COG: 3,76 / Price: 15,98",B07Y7ZQ265,2025-07-01,F1-10S9-NASK,,,,,,,,,,,,,,,,,,,,9.0,
"NewEleven Fathers Day Gift For Dad From Daughter, Son, Kids - Birthday Gift For Dad, Husband, Men - Best Present Idea For Father, Husband, Bonus Father From Daughter, Son, Wife - 20 Oz Tumbler COG:  / Price: 0",B088GX79HT,2025-07-01,,,,,,,,,,,,,,,,,,,,,6.0,
"NewEleven 40th Birthday Gifts For Women - 40th Birthday Decorations For Women, Her - Best 40 Year Old Gifts Ideas For Wife, Mom, Friends, Sister - Turning 40 Presents For Female - 12 Oz Tumbler COG: 3,87 / Price: 14,99",B089QFK8NV,2025-07-01,6O-P3K0-CFHN,1.0,,1499.0,,,,,,,,-663.0,-387.0,449.0,449.0,836.0,2995.0,11602.0,,,18.0,556.0
"NewEleven 50th Birthday Gifts For Women, Her - 1975 50th Birthday Decorations - Gift For Women Turning 50-50 Year Old Gifts For Her, Mom, Wife, Friends - 12 Oz Wine Tumbler COG: 3,39 / Price: 16,98",B089QFYLFB,2025-07-01,XH-ELQT-PEJ2,19.0,,37962.0,-1998.0,-5117.0,-506.0,-57.0,,,,-13825.0,-6441.0,10581.0,10581.0,17022.0,2787.0,16428.0,,1348.0,40.0,4750.0
"NewEleven Gifts For Men, Dad, Husband, Him - Aprons For Men With Pockets - Funny Gifts For Men, Dad, Husband, Boyfriend, Him, Brother, Uncle - Grill Cooking BBQ Kitchen Chef Apron COG: 3,92 / Price: 15,98",B08CDFWN1Q,2025-07-01,T7-POTQ-PD13,10.0,1.0,1598.0,,,,,1000.0,,-1465.0,-637.0,-392.0,4225.0,4225.0,8145.0,2644.0,10778.0,,,42.0,2381.0
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler COG: 3,31 / Price: 19,98",B08R8PXYL6,2025-07-01,ZG-6MPB-F5JV,13.0,,25974.0,,-103.0,-103.0,,,,,-9685.0,-4303.0,1686.0,1686.0,5989.0,649.0,3918.0,,3966.0,54.0,2407.0
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98",B08R8R2LQF,2025-07-01,JC-JMFX-W7IY,16.0,,36768.0,,-9259.0,-9257.0,-2.0,,100.0,421.0,-1272.0,-6736.0,8474.0,8474.0,14789.0,2305.0,12580.0,,2518.0,44.0,3636.0
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Men Women - Gifts For Women Turning 50-50 Year Old Gift For Men, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 4,65 / Price: 14,99",B08R8SW1NM,2025-07-01,IW-9AEL-FYY3,1.0,,1499.0,,,,,,,,-703.0,-465.0,331.0,331.0,796.0,2208.0,7118.0,,,10.0,1000.0
"NEWELEVEN Coworker Leaving Gift - Farewell, Going Away, New Job, Goodbye, Good Luck for Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler COG: 4,76 / Price: 19,98",B08Y8RZRHG,2025-07-01,31-PNFY-F78S,1.0,,1998.0,,,,,,,,-745.0,-476.0,777.0,777.0,1253.0,3889.0,16324.0,,,19.0,526.0
NewEleven 20 Oz Tumbler - Christmas Gifts for Dad from Kids COG:  / Price: 0,B08ZKZ1FJK,2025-07-01,,,,,,,,,,,,,,,,,,,,,3.0,
"NewEleven Retirement Gifts For Woman 2025 - Funny Retirement Gifts For Coworker Leaving - Farewell, Leaving, Goodbye Gift For Coworkers, Friends - 12 Oz Tumbler COG: 4,14 / Price: 22,98",B08ZRWW1W4,2025-07-01,A6-H1II-ZKFG,26.0,3.0,5745.0,,-20013.0,-19989.0,-24.0,1154.0,,-5933.0,-19875.0,-10764.0,865.0,865.0,11629.0,151.0,804.0,,3484.0,126.0,2063.0
"NEWELEVEN Valentines Gifts For Men - Aprons For Men With Pockets - Funny Gifts For Him - BBQ Kitchen Chef Apron COG: 3,54 / Price: 15,98",B08ZYGT8SH,2025-07-01,QV-HPXT-L8DT,7.0,,11186.0,,-2839.0,-2824.0,-15.0,,,,-5306.0,-2478.0,563.0,563.0,3041.0,503.0,2272.0,,2538.0,68.0,1029.0
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler COG: 4,63 / Price: 19,98",B092HNBJT6,2025-07-01,W7-BHYY-1NZC,7.0,,13986.0,,-3321.0,-3321.0,,,,,-5215.0,-3241.0,2209.0,2209.0,545.0,1579.0,6816.0,,2375.0,75.0,933.0
"NewEleven Fathers Day Gift For Grandpa From Granddaughter, Grandson - Birthday Present Ideas For Grandfather, New Grampa, Promoted To Grandfather, Grandchildren, Grandkid - 20 Oz Tumbler COG: 4,77 / Price: 19,98",B094CFGN42,2025-07-01,DW-NMEH-X37K,1.0,,1998.0,,,,,,,,-745.0,-477.0,776.0,776.0,1253.0,3884.0,16268.0,,,4.0,2500.0
"NewEleven Retirement Gifts For Woman 2025 - Retired Gift For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler COG: 5,1 / Price: 17,98",B095S16WV3,2025-07-01,VG-MZ2S-KBWR,1.0,,1298.0,,,,,,,,-63.0,-51.0,158.0,158.0,668.0,1217.0,3098.0,,,15.0,667.0
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler COG: 5,52 / Price: 19,98",B095S1818R,2025-07-01,LB-IWKF-ZPU8,,,,,,,,,,,,,,,,,,,,14.0,
"NewEleven Gifts For Him, Men - Gift For Men, Women, Dad, Husband, Friend - Thank You Gifts, Appreciation Gift, Graduation Presents For Men, Nurse, Teacher, Boss, Coworker - 20 Oz Tumbler COG: 4,04 / Price: 16,98",B0978WGWY4,2025-07-01,BJ-VG4K-QQW3,4.0,,6792.0,,-5.0,,-5.0,,,,-2944.0,-1616.0,2227.0,2227.0,3843.0,3279.0,13781.0,,7.0,20.0,2000.0
"NewEleven Gift For Brother From Sister, Bro - Best Birthday Gift For Big, Little Brother, Siblings, Brothers In Law - Funny Gag Gifts For Men - 20 Oz Tumbler COG: 4,4 / Price: 19,98",B09792XF8F,2025-07-01,CC-VIYV-1LFP,2.0,,3996.0,,-653.0,-653.0,,,,,-157.0,-88.0,893.0,893.0,1773.0,2235.0,10148.0,,1634.0,21.0,952.0
"NewEleven Gifts For Mom From Daughter, Son, Kids - Unique Birthday Gift For Mom Wife, New Mother, Bonus Mama, Pregnant Mama - Funny Gifts Ideas For Mum - 20 Oz Tumbler COG: 4,2 / Price: 16,98",B097B9H21P,2025-07-01,YP-SEHP-8NOP,,,,,,,,,,,,,,,,,,,,29.0,
"NewEleven Christmas Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gifts - Birthday Present Ideas For Father, Husband, New Dad, Bonus Dad From Daughter, Son - 20 Oz Tumbler COG:  / Price: 0",B097B9SY89,2025-07-01,,,1.0,,,-473.0,-473.0,,,100.0,-1292.0,,,-1765.0,-1765.0,-2221.0,,,,,4.0,
"NewEleven Gift For Uncle From Niece, Nephew - Funny Unkie Gift, Uncle Birthday Gifts - Best Present For New Uncles, Funcle, Unky Announcement - 20 Oz Tumbler COG: 4,29 / Price: 19,98",B097H6PJCN,2025-07-01,C5-L2Z6-TAT4,1.0,,1998.0,,,,,,100.0,429.0,-785.0,-429.0,1213.0,1213.0,1213.0,6071.0,28275.0,,,10.0,1000.0
"NewEleven Bride To Be Gifts For Her - Wedding Gifts For Bride - Bridal Shower Gift, Bachelorette Gifts For Bride - Engagement Gifts For Women - Bridal Gifts For Bride To Be, Fiancee - 20 Oz Tumbler COG: 5,12 / Price: 19,98",B09B9PKM9M,2025-07-01,HO-20FH-L6FU,,,,,,,,,,,-765.0,,-7650.0,-7650.0,-765.0,,,,,,
"NewEleven Bird Watching Gifts, Gifts For Bird Lovers - Gift For Men Women - Funny Birding Gift For Birders, Birds Watchers, Birb Lovers, Men, Women, Friends - 20 Oz Tumbler COG: 4,78 / Price: 22,98",B09S9PGL4T,2025-07-01,UD-JSC7-HVGH,,,,,,,,,,,,,,,,,,,,2.0,
"NewEleven 20 Oz Tumbler - Farewell Gift for Coworker, BPA-Free Stainless Steel Drinking Cup, Double Wall Vacuum Insulation, Going Away Gift for Men Women, Good Luck Gifts COG: 4,44 / Price: 19,98",B09XDFF8FF,2025-07-01,HR-LSGT-JYQH,5.0,1.0,999.0,-1.0,-3992.0,-3992.0,,2000.0,,-1748.0,-3909.0,-222.0,-1979.0,-1979.0,241.0,-1981.0,-8914.0,,3996.0,380.0,132.0
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler COG: 4,82 / Price: 19,98",B09XDFLNR8,2025-07-01,74-78DN-W52B,1.0,,2198.0,,,,,,,,-818.0,-482.0,898.0,898.0,138.0,4086.0,18631.0,,,18.0,556.0
"NewEleven Retirement Gifts For Men Women 2025 - Retirement Party Decorations - Retired Presents For Coworker Leaving, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler COG: 4,34 / Price: 19,98",B09XXP5V2W,2025-07-01,FL-GKXG-L8RH,7.0,,13986.0,,-58.0,-5768.0,-32.0,,,,-5215.0,-3038.0,-67.0,-67.0,2971.0,-48.0,-221.0,,4147.0,104.0,673.0
"NewEleven Retirement Gifts For Men Women 2025 - Retirement Party Decorations - Retired Presents For Coworker Leaving, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler COG: 4,48 / Price: 19,98",B09YCTFXYV,2025-07-01,KG-HY7Y-VD9N,5.0,,999.0,-2.0,,,,,100.0,448.0,-3892.0,-224.0,4106.0,4106.0,5898.0,4110.0,18330.0,,,26.0,1923.0
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job Gift, Goodbye, Good Luck Presents For Coworkers, Friends, Boss, Men, Women - 20 Oz Tumbler COG: 4,46 / Price: 19,98",B09ZYBDMZ1,2025-07-01,Y3-JOZK-KF6U,4.0,,7992.0,,,,,,,,-298.0,-1784.0,3228.0,3228.0,5012.0,4039.0,18094.0,,,58.0,690.0
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler COG: 4,22 / Price: 19,98",B09ZYCD6GX,2025-07-01,1Q-FSNP-VBED,2.0,,3996.0,,-3639.0,-3639.0,,,,,-149.0,-844.0,-1977.0,-1977.0,-1133.0,-4947.0,-23424.0,,9107.0,69.0,290.0
"NewEleven Retirement Gifts For Women 2025 - Happy Retirement Gift - Coworker Leaving Gift, Farewell Gifts, Goodbye Presents For Coworkers, Friends - 12 Oz Tumbler COG: 3,73 / Price: 22,98",B0B2WGL9ZW,2025-07-01,DI-F7I2-E7AK,3.0,1.0,6894.0,-23.0,,,,3333.0,,-2011.0,-2344.0,-1119.0,1190.0,1190.0,2309.0,1726.0,10634.0,,,27.0,1111.0
"NewEleven Retirement Gifts For Women 2024 - Happy Retirement Gift - Coworker Leaving, Farewell, Goodbye Gifts For Coworkers, Friends - 12 Oz Tumbler COG: 3,99 / Price: 22,98",B0B9RLH8RV,2025-07-01,HB-YPM1-SCJA,2.0,,4596.0,,,,,,,,-159.0,-798.0,2208.0,2208.0,3006.0,4804.0,27669.0,,,21.0,952.0
"NEWELEVEN 16 Oz Coffee Glass - Mama Needs Coffee - Transparent Glass - Reusable - 16 oz - Casual - Cold Drinks - Christmas, Mother's Day, Birthday - 1 Count COG: 2,55 / Price: 16,99",B0B9SF2R4R,2025-07-01,SB-OEYK-4VNP,4.0,,4792.0,,,,,,,,-2788.0,-102.0,984.0,984.0,2004.0,2053.0,9647.0,,,13.0,3077.0
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For New Aunt, Auntie, Sister - Aunts Birthday Gift - Announcement, Promoted To Aunty, Best Auntie Ever - 16 Oz Coffee Glass COG: 2,33 / Price: 12,98",B0BC8SB3Y4,2025-07-01,DT-HT71-4QRG,,,,,,,,,,,,,,,,,,,,18.0,
"NewEleven Gifts For Sister - Unique Birthday Present For Sisters, Soul Sis, Big, Little Sister, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass COG: 2,04 / Price: 15,98",B0BC8WBYW7,2025-07-01,U3-HSBK-1RJI,1.0,,999.0,,,,,,,,-578.0,-204.0,217.0,217.0,421.0,2172.0,10637.0,,,9.0,1111.0
"NewEleven Gifts For Wife, Her - Wife Gifts From Husband - Gift For Her - Gift Ideas For Women, Bride To Be, Fiancee, Wifey - 16 Oz Coffee Glass COG: 2,92 / Price: 13,99",B0BDLH8KX3,2025-07-01,47-ZC5Z-3DOW,,,,,,,,,,,,,,,,,,,,7.0,
"NewEleven Gifts For Mom - Present For Mom From Daughter, Son, Kids - Unique Birthday Gifts For Mother, New Mom, Mommy, Pregnancy - 16 Oz Coffee Glass COG: 2,82 / Price: 13,99",B0BHWDNYVL,2025-07-01,CW-5CAB-L7CZ,,,,,,,,,,,,,,,,,,,,8.0,
"NewEleven Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Present For Her, Female, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass COG: 2,29 / Price: 15,98",B0BRB5SPYZ,2025-07-01,25-YAS2-RJHI,,,,,,,,,,,,,,,,,,,,12.0,
"NewEleven Gifts For Sister - Unique Birthday Present For Soul Sister, Big, Little Sis, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass COG: 2,03 / Price: 15,98",B0BRB6J55H,2025-07-01,OW-SAUE-CM7G,1.0,,999.0,,,,,,,,-587.0,-203.0,209.0,209.0,412.0,2092.0,10296.0,,,16.0,625.0
"NewEleven Coworker Leaving Gifts - Gifts For Coworker Farewell, Going Away, Goodbye, New Job - Good Luck Presents For Friends, Boss, Women, Work Bestie – 16 Oz Coffee Glass COG: 2,42 / Price: 14,98",B0BRB6NJCT,2025-07-01,MF-GYAU-GTQX,9.0,1.0,13482.0,-15.0,-1453.0,-1453.0,,1111.0,,-1311.0,-63.0,-2178.0,2090.0,2090.0,4268.0,1550.0,9596.0,,1078.0,87.0,1034.0
"NewEleven Bridal Shower Gifts - Wedding Gifts For Bride - Bachelorette Gift, Engagement Presents For Women - Gift For Bride To Be, Fiancee, Wifey, Her - 16 Oz Coffee Glass COG: 2,18 / Price: 13,98",B0BRCCZLL8,2025-07-01,63-QY4L-OED4,3.0,,4194.0,,-872.0,-872.0,,,,,-219.0,-654.0,478.0,478.0,1132.0,1140.0,7309.0,,2079.0,11.0,2727.0
"NewEleven Christmas Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Gift For Women, Friend, Female, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass COG:  / Price: 0",B0BRCDZRSP,2025-07-01,,,,,,,,,,,,,,,,,,,,,23.0,
"NewEleven Gifts For Dog Lovers, Dogs Owners, Dog Moms, Fur Mama - Dog Mom Gifts For Women - Cute Funny Gift For Women, Best Friend, Girlfriend - 16 Oz Coffee Glass COG: 2,13 / Price: 9,99",B0BRCG7S9H,2025-07-01,2R-X9LF-IOEW,,,,,-323.0,-323.0,,,,,,,-323.0,-323.0,-323.0,,,,,12.0,
"NewEleven Gifts For Cat Mom, Cats Lover - Cat Gifts For Women - Cute Kitten Stuff, Cats Themed Gift For Women - Cute Funny Gift For Her, Best Friend - 16 Oz Coffee Glass COG: 2 / Price: 9,99",B0BRCJ5VYH,2025-07-01,CZ-V369-AMB3,2.0,,1998.0,,,,,,,,-125.0,-4.0,348.0,348.0,748.0,1742.0,8700.0,,,20.0,1000.0
"NewEleven Gifts For Sister From Sisters, Brother - Unique Birthday Present, Soul Sister, Big Sis Little Sis, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass COG: 2,02 / Price: 15,98",B0BYCSHGYX,2025-07-01,LB-UB38-W1AN,,,,,,,,,,,,,,,,,,,,6.0,
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass COG: 2,23 / Price: 15,98",B0BYCT1SRJ,2025-07-01,LH-BSSY-KKX9,9.0,,14382.0,-16.0,-26.0,-26.0,,,,,-6841.0,-2007.0,5114.0,5114.0,7121.0,3556.0,25481.0,,181.0,16.0,5625.0
"NewEleven Gifts For Nurse - Nurse Gifts For Women - Caregiver Appreciation Gift, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass COG: 2,48 / Price: 9,99",B0BYDBW7PH,2025-07-01,IP-TZ2U-AFMB,1.0,,999.0,,,,,,,,-543.0,-248.0,208.0,208.0,456.0,2082.0,8387.0,,,13.0,769.0
"NewEleven Gifts For Book Lovers - Book Lovers Gifts For Women - Bookish Gift for Readers, Librarians, Bookaholics, Bookworm - Birthday Gift For Women, Her, Best Friend – 16 Oz Coffee Glass COG: 2,25 / Price: 12,98",B0BYDDFNBD,2025-07-01,BC-HKBD-KBAM,2.0,,1998.0,-5.0,,,,,,,-1165.0,-45.0,333.0,333.0,783.0,1667.0,7400.0,,,42.0,476.0
"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Coffee Cup, Coffees Tumbler – Galentines Gifts For Women, Coffees Lover - 16 Oz Coffee Glass COG: 2,33 / Price: 14,98",B0C1BS7BV8,2025-07-01,8N-VAIO-VFH3,1.0,1.0,1498.0,,-1033.0,-1033.0,,10000.0,,-1311.0,-747.0,-233.0,-1826.0,-1826.0,-1593.0,-12190.0,-78369.0,,6896.0,28.0,357.0
"NewEleven Cute Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Coffee Tumbler, Glass Tumbler – Galentines Gifts For Women, Java Lover - 16 Oz Coffee Glass COG: 2,86 / Price: 12,34",B0C1C1F4M4,2025-07-01,Z2-BJ5R-5S3M,,,,,,,,,,,,,,,,,,,,7.0,
"NewEleven Gifts For Women - Stuff For Sloth Lovers - Cute Funny Birthday Gifts For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee Glass COG: 2,37 / Price: 14,98",B0C23XHCN1,2025-07-01,ZE-FHJ1-JZZW,2.0,,2996.0,,-48.0,-48.0,,,,,-1494.0,-474.0,980.0,980.0,1454.0,3271.0,20675.0,,160.0,5.0,4000.0
"NewEleven Penguin Gifts For Women - Penguin Stuff For Pengy Lovers - Cute Funny Birthday Gift, Gift For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee Glass COG: 2,17 / Price: 14,98",B0C23Y5ZYH,2025-07-01,TU-6PXW-EYJS,,,,,,,,,,,,,,,,,,,,1.0,
"NewEleven Gifts For Her - Cow Gifts For Women - Stuff For Cow Lovers - Cute Funny Birthday Gift For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee COG: 2,29 / Price: 14,98",B0C242DYT4,2025-07-01,OX-EHPQ-U3LT,,,,,,,,,,,,,,,,,,,,4.0,
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler COG: 4,02 / Price: 19,98",B0C3CW184G,2025-07-01,L6-4LV1-54DE,1.0,,2198.0,,,,,,,,765.0,-402.0,2561.0,2561.0,2963.0,11652.0,63706.0,,,26.0,385.0
"NewEleven Gifts For Mom - Birthday Gifts For Mom From Kids – Unique Birthday Present Ideas For Mother, New Mom, Mom To Be, Wife From Daughter, Son, Husband - 16 Oz Coffee Glass COG: 2,25 / Price: 16,98",B0C9BZRC4K,2025-07-01,YM-PHWT-7K9Y,2.0,,2396.0,,-2425.0,-2425.0,,,,,-1394.0,-45.0,-1873.0,-1873.0,-1423.0,-7817.0,-41622.0,,10121.0,32.0,625.0
"NewEleven Gifts For Sister From Sister, Brother - Unique Birthday Present For Sisters, Soul Sis, Big, Little Sisters, Sis In Law, Sibling, Bestie - 16 Oz Coffee Glass COG: 2,13 / Price: 16,98",B0C9C5VX7S,2025-07-01,T8-BRCL-CEUK,5.0,,4995.0,,-35.0,-35.0,,,,,-289.0,-1065.0,690.0,690.0,1755.0,1381.0,6479.0,,701.0,17.0,2941.0
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Aunt, New Auntie, Sister - Aunty Birthday Gift, Announcement, Promoted To Auntie, Best Aunty Ever - 20 Oz Tumbler COG: 3,83 / Price: 15,98",B0C9D2PHMH,2025-07-01,GX-USB4-E6T8,5.0,,799.0,-336.0,-2146.0,-2083.0,-63.0,,,,-3539.0,-1915.0,54.0,54.0,1969.0,68.0,282.0,,2686.0,18.0,2778.0
"NewEleven Gifts For Friends, Bestie – Work Bestie Presents For Women Friends - Appreciation Gifts For Coworkers, Unique Present Ideas For Coworker Leaving, Farewell Party – 16 Oz Coffee Glass COG: 2,17 / Price: 14,98",B0CBJQZCFY,2025-07-01,2D-H3QH-UR6F,2.0,,2996.0,,-534.0,-534.0,,,,,-1326.0,-434.0,702.0,702.0,1136.0,2343.0,16175.0,,1782.0,37.0,541.0
"NewEleven Gifts For Nurse - Nurse Gift For Women - Caregiver Appreciation Gifts, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass COG: 2,33 / Price: 9,99",B0CBJR253J,2025-07-01,DM-ZO4D-MA58,5.0,,4995.0,-28.0,-905.0,-905.0,,,,,-2667.0,-1165.0,-22.0,-22.0,1143.0,-44.0,-189.0,,1812.0,21.0,2381.0
"NEWELEVEN 16 Oz Coffee Glass - Mom Birthday Gifts, Multicolor, Glass, 16 oz, Reusable, Insulated, Cylindrical, Casual, Cold Drinks, Christmas, Mother's Day, Birthday COG: 2,31 / Price: 12,98",B0CBJSYJJS,2025-07-01,IV-16R1-T5AZ,,,,,,,,,,,,,,,,,,,,10.0,
"NewEleven Gifts For Book Lovers - Book Lovers Gifts For Women, Her, Friends - Book Accessories, Bookish Gifts For Writers, Readers, Librarian, Bookaholic, Bookworm – 16 Oz Coffee Glass COG: 2,03 / Price: 13,98",B0CCDLWRTD,2025-07-01,68-JFET-D7YN,3.0,,4194.0,,,,,,,,-2058.0,-609.0,1527.0,1527.0,2136.0,3641.0,25074.0,,,6.0,5000.0
"NewEleven Coworker Leaving Gifts - Farewell, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gifts For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler COG: 3,71 / Price: 19,98",B0CDLPSMGF,2025-07-01,CO-C7X6-C1NV,2.0,2.0,3996.0,,,,,10000.0,,-3482.0,-157.0,-742.0,-1798.0,-1798.0,-1056.0,-4499.0,-24232.0,,,21.0,952.0
"NewEleven Gifts For Men, Dad, Husband, Friend - Birthday Gift For Women, Men - Thank You Gifts, Appreciation Gift, Graduation Presents For Men, Nurse, Teacher, Boss, Coworker – 20 Oz Tumbler COG: 3,66 / Price: 16,98",B0CDLQFJK6,2025-07-01,EH-49BE-XWTF,,,,,,,,,,,,,,,,,,,,10.0,
"NewEleven Gifts For Men, Women - Funny Gag Gifts Ideas For Dad, Mom, Grandpa, Grandma, Husband, Wife, Uncle, Him - 40th 50th 60th 70th 80th Birthday Gifts For Men Women – 20 Oz Tumbler COG: 3,65 / Price: 15,98",B0CDLQGPKC,2025-07-01,38-P9JP-4W92,4.0,,6392.0,,,,,,,,-2876.0,-146.0,2056.0,2056.0,3516.0,3217.0,14082.0,,,18.0,2222.0
"NewEleven Gifts For Women – Chaos Coordinator Gifts For Women, Boss, Manager, Coworker, Best Friend - Appreciation, Inspirational Gift For Teacher, Nurse, Social Worker – 20 Oz Tumbler COG: 3,87 / Price: 17,98",B0CFQ4CDD5,2025-07-01,7K-U1QW-2RDX,1.0,,1798.0,,-1073.0,-1073.0,,,,,-752.0,-387.0,-414.0,-414.0,-27.0,-2303.0,-10698.0,,5968.0,12.0,833.0
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98",B0CG8N67SJ,2025-07-01,FQ-Q5JW-E8TK,23.0,1.0,45954.0,-1.0,-18248.0,-1794.0,-308.0,435.0,100.0,-1299.0,-18039.0,-8188.0,80.0,80.0,7556.0,17.0,98.0,,3971.0,203.0,1133.0
"NewEleven Gifts For Mom, Wife - Gifts For Mom From Daughter, Son, Kids - Unique Birthday Present Ideas For Mother, Wife, New Mama From Daughter, Son, Husband - 20 Oz Tumbler COG: 3,71 / Price: 19,98",B0CG8NHNWF,2025-07-01,2F-5232-03M8,1.0,,1998.0,-1.0,,,,,,,-769.0,-371.0,758.0,758.0,1129.0,3794.0,20431.0,,,20.0,500.0
"NewEleven Fathers Day Gift For Dad, Men - Funny Birthday Gifts For Dad, Men, Car Guys - Unique Present Idea For Father, Husband, Uncle, Guys From Daughter, Son, Kids, Wife - 20 Oz Tumbler COG: 3,71 / Price: 14,98",B0CHJ1V1RR,2025-07-01,0I-V2OD-GO56,,,,,,,,,,,,,,,,,,,,8.0,
"NewEleven Gifts For Coworker Friends – Work Bestie Gifts For Women Friendship - Unique Present Ideas For Coworker Leaving, Going Away, Goodbye, Farewell Party – 20 Oz Tumbler COG: 3,57 / Price: 17,98",B0CHJ3W9SQ,2025-07-01,LA-XF5O-M492,1.0,,1998.0,,-763.0,-763.0,,,,,-867.0,-357.0,11.0,11.0,368.0,55.0,308.0,,3819.0,20.0,500.0
"NewEleven Gifts For Godmother - Will You Be My Godmother From GodChild - Pregnancy Announcement Gifts For God Mother, Godmom, Godparents - 16 Oz Coffee Glass COG: 2,15 / Price: 14,98",B0CJ2CKDR8,2025-07-01,SE-AHQ6-UUXA,3.0,1.0,5394.0,,-4.0,-389.0,-11.0,3333.0,,-83.0,-564.0,,-1476.0,-1476.0,-1476.0,-2736.0,,,742.0,19.0,1579.0
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For New Aunt, Auntie, Sister - Auntie Birthday Gift - Announcement, Promoted To Aunty - 16 Oz Coffee Glass COG: 2,4 / Price: 14,98",B0CJ2CNDQT,2025-07-01,92-KAM5-CE6S,2.0,,2996.0,,-1229.0,-1229.0,,,100.0,24.0,-1406.0,-48.0,121.0,121.0,361.0,404.0,2521.0,,4102.0,14.0,1429.0
"NewEleven Fathers Day Gift For Dad - Cool Dad Gifts From Daughter - Unique Birthday Present Ideas For Father, Husband, Bonus Father, Step Papa, New Papa From Daughter - 20 Oz Tumbler COG: 3,56 / Price: 17,98",B0CJLF7CW6,2025-07-01,JY-5OP2-ZVFB,1.0,,1798.0,,-915.0,-915.0,,,,,-752.0,-356.0,-225.0,-225.0,131.0,-1251.0,-6320.0,,5089.0,11.0,909.0
