Product,ASIN,Date,SKU,Units,Refunds,Sales,Promo,Ads,Sponsored products (PPC),Sponsored Display,% Refunds,Sellable Quota,Refund сost,Amazon fees,Cost of Goods,Gross profit,Net profit,Estimated payout,Margin,ROI,BSR,Real ACOS,Sessions,Unit Session Percentage
"NewEleven Dad Gifts - Birthday Gifts For Dad From Daughter - Husband Gift - Unique Birthday Present Ideas For Father, Husband, New Papa, Bonus Father From Daughter - 20 Oz Tumbler COG: 3,19 / Price: 15,98",B0CM5RY3QS,2025-08-11,J7-CYQ3-G6E8,,,,,,,,,,,463.0,-319.0,144.0,144.0,463.0,,4514.0,,,4.0,
"NewEleven Gifts For Brothers From Sister, Bro - Best Birthday Gift For Big, Little Brother, Siblings, Brothers In Law, Men - 20 Oz Tumbler Navy COG: 3,69 / Price: 19,98",B0CN926PG1,2025-08-11,1O-O788-ZCZU,2.0,,3996.0,-1.0,,,,,,,-1554.0,-738.0,1604.0,1604.0,2342.0,4014.0,21734.0,,,5.0,4000.0
"NewEleven 50th Birthday Gifts For Men Women - 1974 50th Birthday Decorations - Gifts For Men Women Turning 50-50 Year Old Gift For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 4,1 / Price: 18,98",B0CN93621G,2025-08-11,8D-V9PG-OCNF,,,,,,,,,,,,,,,,,,,,18.0,
"NewEleven Fathers Day Gift For Dad, Men - Funny Birthday Gifts For Dad, Men, Car Guys - Unique Present Idea For Father, Papa, Husband, Uncle, Guys From Daughter, Son, Kids, Wife - 20 Oz Tumbler COG: 3,93 / Price: 19,98",B0CNTFTNT9,2025-08-11,MO-1909-MXZY,,,,,,,,,,,,,,,,,,,,1.0,
"NewEleven Gifts For Grandma - Grandma Gifts From Granddaughter, Grandson - Birthday Gift For Grandmother, Nana, Gigi, Mimi, Grammy From Grandchildren, Grandchild - 20 Oz Tumbler COG: 3,62 / Price: 17,98",B0CQ2K12H3,2025-08-11,RR-GSRH-DCUL,,,,,,,,,,,,,,,,,,,,5.0,
"NewEleven Fathers Day Gift For Grandpa - Grandpa Gifts From Granddaughter, Grandson - Unique Birthday Present Ideas For Grandfather, New Granddad, Promoted To Granddad, Grandchildren - 20 Oz Tumbler COG: 3,48 / Price: 19,98",B0CQ4X98YF,2025-08-11,IW-TRN7-KQLA,1.0,,1998.0,-1.0,,,,,,,-208.0,-696.0,994.0,994.0,169.0,4975.0,14282.0,,,4.0,2500.0
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98",B0CQJZP6TK,2025-08-11,FJ-K5JP-AWYT,13.0,,20774.0,-16.0,-4322.0,-4322.0,,,100.0,258.0,-9318.0,-3354.0,3878.0,3878.0,6974.0,1867.0,11562.0,,2080.0,76.0,1711.0
"NewEleven Fathers Day Gift For Him - Birthday Gifts For Men, Funny Gift For Dad, Husband, Grandpa, Uncle, Old Men - Cool Gifts For Dad From Daughter, Son – 20 Oz Tumbler COG: 3,47 / Price: 19,98",B0CRDFWF44,2025-08-11,A5-0R5N-261B,,,,,,,,,,,,,,,,,,,,5.0,
"NewEleven Gift For Friends, Bestie - Birthday Gifts for Women Friendship - Unique Friendship Gifts For Women, Friend, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass COG: 2,81 / Price: 14,98",B0CRKQR2KF,2025-08-11,C6-OPZ3-4B3S,1.0,,1498.0,,,,,,,,-701.0,-281.0,516.0,516.0,797.0,3445.0,18363.0,,,21.0,476.0
"NewEleven Gifts For Grandma - Grandmother Birthday Gifts, Gift for Grandma From Granddaughter Grandson - Presents For Nana, Gigi, Mimi, Grammy, New Grandmother - 20 Oz Tumbler COG: 3,5 / Price: 16,98",B0CRKR75LJ,2025-08-11,XF-QHNV-2YN6,,,,,,,,,,,,,,,,,,,,7.0,
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98",B0CRVTN11L,2025-08-11,Y1-7KOS-V5KR,20.0,1.0,30362.0,,-5399.0,-5399.0,,500.0,100.0,-1107.0,-14485.0,-56.0,3771.0,3771.0,9091.0,1242.0,6734.0,,1778.0,90.0,2222.0
"NewEleven Birthday Gifts For Women - Funny Gag Gifts Ideas For Mom, Grandma, Wife, Her, Sister, Coworker - 40th 50th 60th 70th 80th Birthday Gifts For Women – 20 Oz Tumbler COG: 3,48 / Price: 15,98",B0CT8JTMF8,2025-08-11,T3-8QDV-BD6U,2.0,,3196.0,,,,,,,,-1358.0,-696.0,1142.0,1142.0,1838.0,3573.0,16408.0,,,8.0,2500.0
"NewEleven Retirement Gifts For Women 2025 - Happy Retirement Party Decorations - Coworker Leaving Gifts, Farewell Gift, Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,41 / Price: 23,98",B0CWNTN1JN,2025-08-11,XL-MR6A-RPZ5,1.0,2.0,2398.0,,,,,20000.0,100.0,-3721.0,-933.0,-441.0,-2697.0,-2697.0,-2697.0,-11247.0,-61156.0,,,29.0,345.0
"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Aunt, New Aunts, Sister - Aunts Birthday Gift, Auntie Announcement, Promoted To Auntie, Best Aunties Ever - 20 Oz Tumbler COG: 3,56 / Price: 14,98",B0CWTR4RFZ,2025-08-11,KH-DRF5-O4UX,,,,,,,,,,,,,,,,,,,,3.0,
