"Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage"
"NewEleven 50th Birthday Gifts For Men Women - 1975 50th Birthday Decorations For Him Her - Present For Men Women Turning 50 Year Old Gifts For Mom, Dad, Wife, Husband - 20 Oz Tumbler COG: 3,29 / Price: 19,98";"B0DH7YGD9Q";"EC-NYJH-0YZA";"41";"2";"819,18";"";"-154,96";"-154,96";"";"";"";"";"";"4,88";"100";"-31,39";"-374,53";"-134,89";"";"123,41";"123,41";"255,01";"";"15,07";"91,49";"2 820";"18,92";"162";"25,31"
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98";"B0F18CMJ3L";"CU-4EWE-9UH1";"41";"1";"942,18";"-3,45";"-141,45";"-141,45";"";"";"";"";"";"2,44";"";"-19,94";"-359,65";"-82,32";"";"335,37";"335,37";"417,69";"";"35,60";"407,40";"11 360";"15,01";"173";"23,70"
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98";"B0F18PVLJ1";"WD-3UXP-TSPV";"35";"1";"804,3";"-1,15";"-167,27";"-167,27";"";"";"";"";"";"2,86";"-";"-19,94";"-314,34";"-122,5";"";"179,10";"179,10";"301,6";"";"22,27";"146,20";"14 332";"20,80";"118";"29,66"
"NewEleven Gifts For Aunt - Aunt Gifts From Niece, Nephew - Birthday Gift For Auntie, New Aunts, Auntie, To Be Aunts - 16 Oz Coffee Glass COG: 2,58 / Price: 15,98";"B0CQJZP6TK";"FJ-K5JP-AWYT";"23";"1";"367,54";"-6,56";"-45,55";"-45,55";"";"";"";"";"";"4,35";"100";"-11,29";"-295,22";"-59,34";"";"-50,42";"-50,42";"6,34";"";"-13,72";"-84,97";"23 545";"12,39";"72";"31,94"
"NewEleven Gifts For Mom, New Mother - Gifts For a Mom of Boys, Pregnant Mother, Expecting Momomy, Mama, Moms To Be, Mommy To Be - 16 Oz Coffee Glass COG: 2,8 / Price: 15,98";"B0CRVTN11L";"Y1-7KOS-V5KR";"18";"1";"287,64";"";"-66,55";"-66,55";"";"";"";"";"";"5,56";"100";"-11,07";"-445,7";"-50,4";"";"-286,08";"-286,08";"-238,48";"";"-99,46";"-567,62";"8 046";"23,14";"77";"23,38"
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98";"B0F13S4HSG";"M7-LMCU-PTYK";"16";"";"303,68";"-0,95";"-84,59";"-84,59";"";"";"";"";"";"";"-";"";"-134,15";"-36,26";"";"47,73";"47,73";"83,99";"";"15,72";"131,63";"15 643";"27,85";"191";"8,38"
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter, Son, Kids - Husband Gift - Birthday Present Ideas For Father, New Papa, Bonus Father From Daughter, Son - 20 Oz Tumbler COG: 3,56 / Price: 19,98";"B0CG8N67SJ";"FQ-Q5JW-E8TK";"15";"";"299,7";"-15";"-101,97";"-101,97";"";"";"";"";"";"";"-";"";"-361,36";"-53,4";"";"-232,03";"-232,03";"-178,63";"";"-77,42";"-434,51";"6 543";"34,02";"140";"10,71"
"NewEleven 40th Birthday Gifts For Women, Her - 1985 40th Birthday Decorations For Women - 40 Year Old Gifts For Her, Mom, Wife, Sister, Friends - 16 Oz Coffee Glass COG: 1,99 / Price: 16,98";"B0DGGDX9P5";"EI-6RN9-0Z0A";"15";"2";"254,7";"-1,69";"-74,17";"-74,17";"";"";"";"";"";"13,33";"100";"-24,53";"-172,09";"-33,83";"";"-51,61";"-51,61";"-19,77";"";"-20,26";"-152,56";"9 374";"29,12";"110";"13,64"
"NewEleven Gifts For Mom, Birthday Gifts For Mom From Daughters, Son - New Mom Gift, Mother In Law - Bible Jar For Mom - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse COG: 1,99 / Price: 16,98";"B0DVSKXLS5";"UI-VXIT-1YW7";"14";"";"237,72";"";"-33,34";"-33,34";"";"";"";"";"";"";"-";"";"-140,1";"-27,86";"";"36,42";"36,42";"64,28";"";"15,32";"130,73";"15 643";"14,02";"92";"15,22"
"NewEleven Retirement Gift For Woman 2025 - Cool Retirement Gifts - Coworker Leaving Gifts, Farewell Presents, Retired Decorations, Farewell Goodbye Gift For Coworkers, Friends - 16 Oz Wine Glass COG: 4,48 / Price: 22,98";"B0DH88L44J";"3E-J0TV-6W9S";"13";"";"289,77";"-5,35";"-101,5";"-101,5";"";"";"";"";"";"";"100";"4,48";"-593,47";"-58,24";"";"-464,31";"-464,31";"-410,55";"";"-160,23";"-797,24";"14 154";"35,03";"104";"12,50"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler COG: 4,63 / Price: 19,98";"B092HNBJT6";"W7-BHYY-1NZC";"12";"";"239,76";"-6,2";"-41,14";"-41,14";"";"";"";"";"";"";"-";"";"-114,34";"-55,56";"";"22,52";"22,52";"78,08";"";"9,39";"40,53";"24 323";"17,16";"67";"17,91"
"NewEleven Retirement Gifts, Farewell Gift, Goodbye Present for Coworkers, New Beginnings Gifts for Women Men, Christmas Gift for Coworkers Friends Work Bestie Boss Leader - 8 Oz Candle COG: 4,99 / Price: 15,98";"B0D7HMXCSP";"UB-TA3P-4YBQ";"11";"";"175,78";"";"";"";"";"";"";"";"";"";"-";"";"-155,01";"-54,89";"";"-34,12";"-34,12";"20,77";"";"-19,41";"-62,16";"64 413";"";"100";"11,00"
"NewEleven Gifts For Mom - Birthday Card For Mom From Daughter, Son, Kids, Husband - Wife Gift - Unique Present Ideas For Mother, Mother In Law, Wife, New Mama - Greeting Card COG: 0,46 / Price: 9,99";"B0F2TDMHFC";"LT-01MF-LZ2N";"11";"";"109,89";"";"-27,73";"-27,73";"";"";"";"";"";"";"100";"0,46";"-46,55";"-5,06";"";"31,01";"31,01";"35,61";"";"28,22";"612,85";"12 112";"25,23";"42";"26,19"
"NewEleven Funny Retirement Gifts For Men, Women - Going Away Gift, Coworker Leaving Gifts For Women, Farewell Gift For Coworkers, Boss, Colleague - Greeting Card COG: 0,39 / Price: 7,99";"B0FC69XTZ9";"B4-IRKZ-AKKE";"11";"";"87,89";"-0,96";"-55,48";"-55,48";"";"";"";"";"";"";"-";"";"-40,56";"-4,29";"";"-13,40";"-13,40";"-9,11";"";"-15,25";"-312,35";"7 694";"63,12";"90";"12,22"
"NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - 40 Year Old Birthday Gifts For Dad, Mom, Friends Turning 40-20 Oz Tumbler COG: 4,21 / Price: 22,98";"B08R8R2LQF";"JC-JMFX-W7IY";"10";"";"229,8";"";"-42,9";"-42,9";"";"";"";"";"";"";"-";"";"-119,31";"-42,1";"";"25,49";"25,49";"67,59";"";"11,09";"60,55";"18 244";"18,67";"41";"24,39"
