State,Portfolio,Status,Budget type,Budget(USD),Budget start,Budget end,Campaign count,Impressions,Clicks,CTR,Spend(USD),CPC(USD),Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD)
,x B08R8TGKV7_TUMBLER 20_DOG MOM WHITE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1434931,4169,0.0029,6008.02,1.44,561,13780.02,0.436,2.2936,0,0,0.00,0,0,0.00
,B0F18PVLJ1_TUMBLER 20_EVERY SIP TASTES LIKE RETIRED 2025 BLACK_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,778613,6324,0.0081,12546.60,1.98,1219,29053.04,0.4319,2.3156,0,0,0.00,0,0,0.00
,x B085DT7SXL_TUMBLER 12_TALK THIRTY TO ME ROSE GOLD,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,17185526,23647,0.0014,30894.84,1.31,3660,71593.24,0.4315,2.3173,0,0,0.00,0,0,0.00
,B0CYS94K31_TUMBLER 12_IN MY FORTIES ERA ROSE GOLD_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,6574028,12943,0.002,26604.24,2.06,3313,61654.31,0.4315,2.3175,0,0,0.00,0,0,0.00
,x B0CN8ZP46N_TUMBLER 20_VINTAGE 1964 WEIRD BEING OLD PEOPLE NAVY,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,4477576,13413,0.003,27893.95,2.08,2989,65117.15,0.4284,2.3345,0,0,0.00,0,0,0.00
,x B0CN8ZK2X8_TUMBLER 20_VINTAGE 1984 WEIRD BEING OLD PEOPLE BLACK,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,17891,99,0.0055,164.68,1.66,24,384.51,0.4283,2.3349,0,0,0.00,0,0,0.00
,B09ZYCD6GX_TUMBLER 20_COWORKER BLUE WHITE_TRINH,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,600428,2646,0.0044,2835.02,1.07,331,6654.49,0.426,2.3472,0,0,0.00,0,0,0.00
,B08R8PXYL6_TUMBLER 12_SIXTY FABULOUS ROSE GOLD_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,21676115,30437,0.0014,52092.69,1.71,5957,123715.29,0.4211,2.3749,0,0,0.00,0,0,0.00
,B0CYPT8HM7_COFFEE GLASS_IN MY THIRTIES ERA_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,2753148,13581,0.0049,24074.97,1.77,3340,57223.03,0.4207,2.3769,0,0,0.00,0,0,0.00
,B0DK16SMD9_ORNAMENT_THE YEAR WE GOT ENGAGED GLASS_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,688446,5916,0.0086,9889.96,1.67,1623,23645.56,0.4183,2.3909,0,0,0.00,0,0,0.00
,B0DH86X93V_TUMBLER 20_VINTAGE 1985 WEIRD BEING OLD PEOPLE NAVY_TRINH,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1942876,7756,0.004,14989.15,1.93,1741,36112.39,0.4151,2.4092,0,0,0.00,0,0,0.00
,x B0DLV9CFVS_ORNAMENT_IN MY AUNTIE ERA CERAMIC_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,120331,632,0.0053,1128.04,1.78,210,2721.73,0.4145,2.4128,0,0,0.00,0,0,0.00
,B089QFYLFB_TUMBLER 12_FIFTY FABULOUS ROSE GOLD_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,27199225,41216,0.0015,62039.47,1.51,7379,150519.45,0.4122,2.4262,0,0,0.00,0,0,0.00
,B0CM5RY3QS_TUMBLER 20_AWESOME LIKE MY DAUGHTER + DAD NUTRITION NAVY_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,148998,685,0.0046,1070.33,1.56,127,2608.44,0.4103,2.437,0,0,0.00,0,0,0.00
,x B0BZW5PRZF_CANDLE_I HATE EVERYONE EXCEPT US,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,541613,2062,0.0038,1847.48,0.90,342,4509.10,0.4097,2.4407,0,0,0.00,0,0,0.00
,B0DM63J16N_TUMBLER 20_60 & FABULOUS + MAKING 1965_THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1732004,8094,0.0047,13761.88,1.70,1482,33652.77,0.4089,2.4454,0,0,0.00,0,0,0.00
,x B0CN92WPN9_TUMBLER 20_VINTAGE 1984 WEIRD BEING OLD PEOPLE NAVY,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,4445934,12281,0.0028,25880.05,2.11,3059,63403.87,0.4082,2.4499,0,0,0.00,0,0,0.00
,B0CFQ4CDD5_TUMBLER 20_CHAOS COORDINATOR + YOU ARE AWESOME WHITE THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,2054426,10097,0.0049,10678.82,1.06,1105,26209.67,0.4074,2.4544,0,0,0.00,0,0,0.00
,B092HNBJT6_TUMBLER 20_COWORKER BLACK_TRINH,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,12795222,60025,0.0047,68138.18,1.14,7772,169034.86,0.4031,2.4808,0,0,0.00,0,0,0.00
,x monica,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,431345,2772,0.0064,1973.36,0.71,312,4925.34,0.4007,2.4959,0,0,0.00,0,0,0.00
,B097H6PJCN_TUMBLER 20_UNCLESAURUS BLACK_NGUYEN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,4587631,17225,0.0038,32964.96,1.91,3497,82702.11,0.3986,2.5088,0,0,0.00,0,0,0.00
,"TEST BUDGET, BID 3.1.2025",PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,3061329,13522,0.0044,14356.28,1.06,1858,36129.34,0.3974,2.5166,0,0,0.00,0,0,0.00
,B09YCTFXYV_TUMBLER 20_RETIREMENT BLACK_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,33756,363,0.0108,557.02,1.53,69,1405.11,0.3964,2.5225,0,0,0.00,0,0,0.00
,x B0D72Z4996_ORNAMENT_MERRY CHRISTMAS BABY SEE YOU IN 2025_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,879815,9935,0.0113,16006.00,1.61,2359,40547.41,0.3947,2.5333,0,0,0.00,0,0,0.00
,B0DH88L44J_WINE GLASS_RETIRED 2025 NOT MY PROBLEM ANYMORE_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,3438725,26062,0.0076,41709.31,1.60,4438,107714.00,0.3872,2.5825,0,0,0.00,0,0,0.00
,B08ZRWW1W4_TUMBLER 12_WISE WOMEN ROSE GOLD_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,27538236,77328,0.0028,122646.14,1.59,14792,324047.92,0.3785,2.6421,0,0,0.00,0,0,0.00
,B0BC8SB3Y4_COFFEE GLASS_BEST AUNT EVER_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,3996877,14343,0.0036,21492.02,1.50,2734,57111.49,0.3763,2.6573,0,0,0.00,0,0,0.00
,B0F18CMJ3L_WHISKEY GLASS_EVERY SIP TASTES LIKE RETIRED 2025_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,511391,4817,0.0094,8692.85,1.80,1046,23409.64,0.3713,2.693,0,0,0.00,0,0,0.00
,B0DLV7X769_ORNAMENT_COOL AUNT CLUB CERAMIC_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,343070,1450,0.0042,2446.30,1.69,440,6615.05,0.3698,2.7041,0,0,0.00,0,0,0.00
,x B0BYCRH528_COFFEE GLASS_AUNTIE LIKE A MOM,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,645982,4008,0.0062,4201.73,1.05,581,11395.25,0.3687,2.712,0,0,0.00,0,0,0.00
,x B0CN93LZ5M_TUMBLER 20_VINTAGE 1974 + WEIRD BEING OLD PEOPLE NAVY,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,7512615,21996,0.0029,40946.00,1.86,5318,111486.07,0.3673,2.7228,0,0,0.00,0,0,0.00
,B0F2T4JDF7_CARD_YOU'RE AN AWESOME MOM_TRINH,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,357180,3448,0.0097,3109.03,0.90,783,8518.43,0.365,2.7399,0,0,0.00,0,0,0.00
,x B0CM5RLDXX_HAT_TRUCKER HAT 1984,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1107263,5542,0.005,9952.62,1.80,1155,27820.43,0.3577,2.7953,0,0,0.00,0,0,0.00
,TEST Amz recommend,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,13617138,45038,0.0033,28664.13,0.64,4529,80251.82,0.3572,2.7997,0,0,0.00,0,0,0.00
,x B07PCR7WNG_MUG_GOOD LUCK FINDING BETTER COWORKER THAN US,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1436113,5158,0.0036,4179.65,0.81,792,11888.51,0.3516,2.8444,0,0,0.00,0,0,0.00
,B0C9D2PHMH_TUMBLER 20_COOL AUNT CLUB WHITE_THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,5885960,17051,0.0029,25473.89,1.49,3356,73287.69,0.3476,2.877,0,0,0.00,0,0,0.00
,B0D7HMXCSP_CANDLE_FUNNY FAREWELL GIFTS COWORKER ESCAPING_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,2606467,19359,0.0074,17939.23,0.93,2212,52117.19,0.3442,2.9052,0,0,0.00,0,0,0.00
,B0BYCT1SRJ_COFFEE GLASS_COOL AUNT CLUB_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,7402003,42742,0.0058,58101.26,1.36,7692,169233.76,0.3433,2.9127,0,0,0.00,0,0,0.00
,x B0DLVS7R7V_ORNAMENT_1ST CHRISTMAS RETIRED 2024 GLASS,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,134404,1606,0.0119,2829.44,1.76,562,8321.78,0.34,2.9411,0,0,0.00,0,0,0.00
